,precision,recall,f1-score,support
A,1.0,1.0,1.0,1.0
C,1.0,1.0,1.0,1.0
F,1.0,1.0,1.0,1.0
H,0.0,0.0,0.0,1.0
J,0.3333333333333333,1.0,0.5,1.0
M,0.0,0.0,0.0,1.0
P,1.0,1.0,1.0,1.0
S,1.0,1.0,1.0,1.0
T,1.0,1.0,1.0,1.0
Y,1.0,1.0,1.0,1.0
accuracy,0.8,0.8,0.8,0.8
macro avg,0.7333333333333334,0.8,0.75,10.0
weighted avg,0.7333333333333334,0.8,0.75,10.0
